Name,Address,Phone_Number,Zip_Code
Chan's Chop Suey,10241 S Western Ave ,773-445-2077,60643
Chan's Kitchen,1934 E 95th St,773-734-9880,60617
Chef's Kitchen Inc,2637 N Central Ave ,773-836-8009,60639
Chen's Garden,4445 N Pulaski Rd ,773-267-3388,60630
Chen's Garden,3912 W North Ave ,773-252-5599,60647
Chi Café,2160 S Archer Ave ,312-842-9993,60616
Chiana Fan,7042 S Stony Island Ave ,773-752-9111,60649
China Buffet,3029 N Pulaski Rd ,773-736-9066,60641
China Café,4818 N Sheridan Rd  ,773-275-8480,60640
China Chef,4042 N Narragansett Ave  ,773-202-8883,60634
China Chef,3832 S Ashland Ave  ,773-254-6476,60609
China Chef,4600 W Belmont Ave ,773-283-2828,60641
China City,6940 S Ashland Ave ,773-863-8800,60636
China Dragon,2459 W Madison St  ,312-733-3887,60612
China Dragon,6214 N Western Ave  ,773-338-8289,60659
China Dragon,1343 W 18th St  ,312-666-3766,60608
China Express,6239 S Ashland Ave  ,773-863-0944,60636
China Express,4640 N Cumberland Ave  ,773-625-4145,60656
China Express,4248 S Wentworth Ave  ,773-268-3823,60609
China Express,5663 W Grand Ave  ,773-804-0452,60639
China Garden,10912 S Halsted St  ,773-995-1888,60628
China Garden,13328 S Baltimore Ave  ,773-646-3826,60633
China Grill,230 N Michigan Ave  ,312-334-6700,60601
China House Restaurant,4901 W Diversey Ave  ,773-622-0750,60639
China Hut,7101 N Clark St  ,773-381-3838,60626
China Hut,7100 N Clark St  ,773-381-3838,60626
China Hut,2311 W Lawrence Ave  ,773-271-6868,60625
China Kitchen,5332 N Cumberland Ave  ,773-693-3223,60656
China Kitchen,1931 W Foster Ave  ,773-334-4438,60640
China Spice,3343 N Halsted St  ,773-281-8828,60657
China Star,4716 N Milwaukee Ave  ,773-286-1289,60630
Chinawok,3106 N Central Ave  ,773-622-6166,60634
Chinawok,1958 W 35th St  ,773-847-2907,60609
Chinese Kitchen,8357 S Cottage Grove Ave  ,773-488-7266,60619
Chinese Kitchen,3539 N Cicero Ave  ,773-283-2121,60641
Chinese Kitchen,1114 S Kedzie Ave  ,773-533-1828,60612
Chinese Kitchen,5316 N Milwaukee Ave ,773-631-8836,60630
Chinese Royal Kitchen,450 W 23rd Pl  ,312-949-1986,60616
Chinese Wok,225 E 47th St  ,773-855-5400,60653
Chop Suey King Chinese Restaurant,3135 N Cicero Ave ,773-283-5000,60641
Chop Suey Loh,3825 S Archer Ave  ,773-523-3951,60632
Chopstick Express,7230 N Harlem Ave  ,773-763-3000,60631
Chopstick Express,3237 N Harlem Ave  ,773-205-1888,60634
Dragon Boat,5754 W Belmont Ave  ,773-286-4773,60634
Dragon Express,225 E 47th St  ,773-548-0384,60653
Evergreen,2404 S Wolcott Ave  ,312-421-6434,60608
Evergreen,2411 S Wentworth Ave  ,312-225-8898,60616
Far East Kitchen,6966 N Glenwood Ave  ,773-465-2200,60626
Fast Wok,2020 N California Ave  ,773-227-6888,60647
Fried Rice Express,7108 W Higgins Ave  ,773-763-9888,60656
Friendship Chinese Restaurant,2830 N Milwaukee Ave  ,773-227-0970,60618
