,Name,Address,Phone_Number,Zip_Code,Latitude,Longitude,Neighborhood
0,Chan's Chop Suey,10241 S Western Ave ,773-445-2077,60643,41.7069459,-87.6812849,Beverly
1,Chan's Kitchen,1934 E 95th St,773-734-9880,60617,41.72295949999999,-87.576363,South Deering
2,Chef's Kitchen Inc,2637 N Central Ave ,773-836-8009,60639,41.9287021,-87.7658877,Belmont Cragin
3,Chen's Garden,4445 N Pulaski Rd ,773-267-3388,60630,41.9619272,-87.7273513,Albany Park
4,Chen's Garden,3912 W North Ave ,773-252-5599,60647,41.9101825,-87.7245536,Humboldt Park
5,Chi Café,2160 S Archer Ave ,312-842-9993,60616,41.853511,-87.634486,Armour Square
6,Chiana Fan,7042 S Stony Island Ave ,773-752-9111,60649,41.7665768,-87.58671299999999,Grand Crossing
7,China Buffet,3029 N Pulaski Rd ,773-736-9066,60641,41.9362271,-87.7264805,Avondale
8,China Café,4818 N Sheridan Rd  ,773-275-8480,60640,41.96959529999999,-87.6553548,Uptown
9,China Chef,4042 N Narragansett Ave  ,773-202-8883,60634,41.9542016,-87.7871519,Dunning
10,China Chef,3832 S Ashland Ave  ,773-254-6476,60609,41.8238879,-87.66576309999999,McKinley Park
11,China Chef,4600 W Belmont Ave ,773-283-2828,60641,41.939336,-87.7424597,Portage Park
12,China City,6940 S Ashland Ave ,773-863-8800,60636,41.76724249999999,-87.66481460000001,West Englewood
13,China Dragon,2459 W Madison St  ,312-733-3887,60612,41.88098129999999,-87.6886767,Near West Side
14,China Dragon,6214 N Western Ave  ,773-338-8289,60659,41.994641,-87.6902241,West Ridge
15,China Dragon,1343 W 18th St  ,312-666-3766,60608,41.8576888,-87.6604814,Lower West Side
16,China Express,6239 S Ashland Ave  ,773-863-0944,60636,41.7801278,-87.6639022,West Englewood
17,China Express,4640 N Cumberland Ave  ,773-625-4145,60656,41.9643052,-87.83736619999999,O'Hare
18,China Express,4248 S Wentworth Ave  ,773-268-3823,60609,41.8170036,-87.63164429999999,Fuller Park
19,China Express,5663 W Grand Ave  ,773-804-0452,60639,41.9189815,-87.76808299999999,Belmont Central
20,China Garden,10912 S Halsted St  ,773-995-1888,60628,41.6955175,-87.6428031,South Side
21,China Garden,13328 S Baltimore Ave  ,773-646-3826,60633,41.6528033,-87.5474177,Hegewisch
22,China Grill,230 N Michigan Ave  ,312-334-6700,60601,41.8865731,-87.62490199999999,Chicago Loop
23,China House Restaurant,4901 W Diversey Ave  ,773-622-0750,60639,41.9311821,-87.7493021,Belmont Cragin
24,China Hut,7101 N Clark St  ,773-381-3838,60626,42.0115852,-87.6742435,Rogers Park
25,China Hut,7100 N Clark St  ,773-381-3838,60626,42.0115993,-87.6747178,Rogers Park
26,China Hut,2311 W Lawrence Ave  ,773-271-6868,60625,41.96828,-87.6870387,Lincoln Square
27,China Kitchen,5332 N Cumberland Ave  ,773-693-3223,60656,41.9764839,-87.8372661,O'Hare
28,China Kitchen,1931 W Foster Ave  ,773-334-4438,60640,41.9757747,-87.67755869999999,Lincoln Square
29,China Spice,3343 N Halsted St  ,773-281-8828,60657,41.9430232,-87.6491151,Lake View East
30,China Star,4716 N Milwaukee Ave  ,773-286-1289,60630,41.9661397,-87.75988799999999,Portage Park
31,Chinawok,3106 N Central Ave  ,773-622-6166,60634,41.93703379999999,-87.76686819999999,Belmont Central
32,Chinawok,1958 W 35th St  ,773-847-2907,60609,41.8306003,-87.6751297,McKinley Park
33,Chinese Kitchen,8357 S Cottage Grove Ave  ,773-488-7266,60619,41.742331,-87.6044818,Grand Crossing
34,Chinese Kitchen,3539 N Cicero Ave  ,773-283-2121,60641,41.945765,-87.7463783,Portage Park
35,Chinese Kitchen,1114 S Kedzie Ave  ,773-533-1828,60612,41.8677999,-87.7063131,North Lawndale
36,Chinese Kitchen,5316 N Milwaukee Ave ,773-631-8836,60630,41.97668729999999,-87.7697992,Jefferson Park
37,Chinese Royal Kitchen,450 W 23rd Pl  ,312-949-1986,60616,41.85010279999999,-87.63888039999999,Armour Square
38,Chinese Wok,225 E 47th St  ,773-855-5400,60653,40.7536528,-73.9709274,Manhattan
39,Chop Suey King Chinese Restaurant,3135 N Cicero Ave ,773-283-5000,60641,41.9380831,-87.74655279999999,Kelvyn Park
40,Chop Suey Loh,3825 S Archer Ave  ,773-523-3951,60632,41.8238723,-87.687908,Brighton Park
41,Chopstick Express,7230 N Harlem Ave  ,773-763-3000,60631,42.0126684,-87.8070884,Edison Park
42,Chopstick Express,3237 N Harlem Ave  ,773-205-1888,60634,41.9390518,-87.806372,Schorsch Village
43,Dragon Boat,5754 W Belmont Ave  ,773-286-4773,60634,41.9387124,-87.7710484,Portage Park
44,Evergreen,2404 S Wolcott Ave  ,312-421-6434,60608,41.846214,-87.6732203,Lower West Side
45,Evergreen,2411 S Wentworth Ave  ,312-225-8898,60616,41.84872010000001,-87.6316138,Armour Square
46,Far East Kitchen,6966 N Glenwood Ave  ,773-465-2200,60626,42.0086244,-87.66634069999999,Rogers Park
47,Fast Wok,2020 N California Ave  ,773-227-6888,60647,41.9181135,-87.697631,Logan Square
48,Fried Rice Express,7108 W Higgins Ave  ,773-763-9888,60656,41.9808874,-87.80511039999999,Union Ridge
49,Friendship Chinese Restaurant,2830 N Milwaukee Ave  ,773-227-0970,60618,41.93251170000001,-87.7135479,Avondale
50,Garden Chop Suey,609 E 79th St  ,773-488-2311,60619,41.75085190000001,-87.6096317,Chatham
51,Golden Chef Chinese Kitchen,3262 W North Ave  ,773-772-6719,60647,41.9103242,-87.7092179,Humboldt Park
52,Golden Wok,5731 N Central Ave  ,773-631-8884,60646,41.9857282,-87.76805019999999,Jefferson Park
53,Great Wall Chinese Restaurant,6748 N Sheridan Rd  ,773-465-5815,60626,42.00492560000001,-87.66125339999999,Rogers Park
54,Great Wall Chinese Restaurant,5032 S State St  ,773-451-0858,60609,41.8030898,-87.62668389999999,Legends South
55,Ho Ho Restaurant,7908 S Halsted St ,773-723-4993,60620,41.74987549999999,-87.64431599999999,Gresham
56,Hoe Toy Chop Suey,8559 S Stony Island Ave  ,773-768-8557,60617,41.7388919,-87.5849569,Stoney Island Park
57,Hong Kong Buffet,6249 N McCormick Rd  ,773-649-0888,60659,41.9951367,-87.7128486,North Park
