Name,Address,Phone_Number,Zip_Code
Ace Coffee Bar,2600 S California Ave ,773-579-0229,60608
Ace Coffee Bar,433 W Harrison St ,312-431-1328,60699
Asado Coffee Co,1432 W Irving Park Rd ,773-661-6530,60613
Awake Café, 1357 W. Chicago,312-492-8600,60642
Awakenings Inc,736 W Irving Park Rd ,773-529-4548,60613
Bad Ass Coffee,3737 N Southport Ave ,773-525-0300,60613
Baladoche,2905 N Clark St ,773-880-5090,60657
Be Kids Café,2800 West North Ave ,312-549-8555,60647
Beans And Bagels,2601 W Leland Ave ,773-649-0015,60625
Bellezza Gelato,3637 N Harlem Ave ,773-545-1239,60634
Beverly Coffee Shop,2734 W 111TH St ,773-429-9650,60655
Big Shoulders Coffee Works,1105 W Chicago,312-888-3042,60642
Bow Truss,406 N Wells St ,312-255-7301,60654
Bridgeport Coffee,5030 S Cornell Ave ,773-947-0348,60615
Bridgeport Coffee House,3430 S Ashland Ave ,773-247-3320,60608
Brothers Coffee Shop Inc,4720 N Kedzie Ave ,773-588-1553,60625
Bytes & Coffee,606 W Barry Ave ,773-281-1600,60657
Bytes And Coffee Internet Café,820 W Belmont Ave ,773-248-0902,60657
Cafe Ballou Store,939 N Western Ave ,773-661-2391,60622
Cafe Con Leche,2714 N Milwaukee Ave ,773-289-4274,60647
Cafe Del Mundo,3152 W Irving Park Rd ,773-588-5558,60618
Cafe Descartes,680 N Lake Shore Dr ,312-255-8003,60611
Cafe Descartes,327 N Michigan Ave ,312-263-0583,60601
Cafe Exchange,7201 S Exchange Ave ,773-336-8593,60649
Cafe Knockbox,1001 N California Ave ,773-360-8325,60622
Cafe Mustache,2313 N Milwaukee Ave ,773-687-9063,60647
Cafe Tola,3612 N Southport Ave ,773-687-8428,60613
Cafe Utjeha,5350 N Lincoln Ave ,773-907-8853,60625
Caffe ArrivaDolce,6451 N Sheridan Rd ,773-338-3103,60626
Caffe Baci,20 N Michigan Ave ,312-214-2220,60602
Caffe Baci,2 N La Salle St ,312-629-2215,60602
Caffe Baci,332 S Michigan Ave ,312-322-2258,60604
Caffe Rom,180 N Stetson Ave ,312-948-8888,60601
Capital One Café,1538 N Clybourn Ave. ,312-279-8060,60610
Capital One Café,3435 N Southport Ave ,312-279-8061,60657
Capital One Café,100 S State Street ,312-279-1047,60603
Caribou Coffee,10 S La Salle St ,312-609-5108,60603
Caribou Coffee,200 N La Salle St ,312-223-1606,60601
Caribou Coffee,41 E 8th St ,312-786-9205,60605
