,Name,Address,Phone_Number,Zip_Code,Latitude,Longitude,Neighborhood
0,Ace Coffee Bar,2600 S California Ave ,773-579-0229,60608,41.84395,-87.6957829,Marshall Square
1,Ace Coffee Bar,433 W Harrison St ,312-431-1328,60699,41.8732627,-87.6379176,South Loop
2,Asado Coffee Co,1432 W Irving Park Rd ,773-661-6530,60613,41.9545563,-87.6656488,Lake View
3,Awake Café, 1357 W. Chicago,312-492-8600,60642,41.89598549999999,-87.661602,West Town
4,Awakenings Inc,736 W Irving Park Rd ,773-529-4548,60613,41.9546966,-87.6492656,Uptown
5,Bad Ass Coffee,3737 N Southport Ave ,773-525-0300,60613,41.950078,-87.66354489999999,Wrigleyville
6,Baladoche,2905 N Clark St ,773-880-5090,60657,41.9351086,-87.64645349999999,Lake View East
7,Be Kids Café,2800 West North Ave ,312-549-8555,60647,41.9104383,-87.69725079999999,West Town
8,Beans And Bagels,2601 W Leland Ave ,773-649-0015,60625,41.966637,-87.6938752,Lincoln Square
9,Bellezza Gelato,3637 N Harlem Ave ,773-545-1239,60634,41.9463745,-87.8065603,Dunning
10,Beverly Coffee Shop,2734 W 111TH St ,773-429-9650,60655,41.69183,-87.6899425,West Morgan Park
11,Big Shoulders Coffee Works,1105 W Chicago,312-888-3042,60642,41.8960466,-87.6556394,West Town
12,Bow Truss,406 N Wells St ,312-255-7301,60654,41.8894281,-87.63422860000001,River North
13,Bridgeport Coffee,5030 S Cornell Ave ,773-947-0348,60615,41.8032729,-87.5867421,East Hyde Park
14,Bridgeport Coffee House,3430 S Ashland Ave ,773-247-3320,60608,41.8314268,-87.6659091,McKinley Park
15,Brothers Coffee Shop Inc,4720 N Kedzie Ave ,773-588-1553,60625,41.9672541,-87.70865429999999,East Albany Park
16,Bytes & Coffee,606 W Barry Ave ,773-281-1600,60657,41.9380598,-87.6447056,Lake View East
17,Bytes And Coffee Internet Café,820 W Belmont Ave ,773-248-0902,60657,41.9400621,-87.6501408,Lake View
18,Cafe Ballou Store,939 N Western Ave ,773-661-2391,60622,41.8987598,-87.6865705,West Town
19,Cafe Con Leche,2714 N Milwaukee Ave ,773-289-4274,60647,41.9303478,-87.7098741,Logan Square
20,Cafe Del Mundo,3152 W Irving Park Rd ,773-588-5558,60618,41.9541083,-87.70766400000001,Irving Park
21,Cafe Descartes,680 N Lake Shore Dr ,312-255-8003,60611,41.8946699,-87.616715,North Lake Shore Drive
22,Cafe Descartes,327 N Michigan Ave ,312-263-0583,60601,41.8877616,-87.62420449999999,Chicago Loop
23,Cafe Exchange,7201 S Exchange Ave ,773-336-8593,60649,41.76443829999999,-87.5646769,South Shore
24,Cafe Knockbox,1001 N California Ave ,773-360-8325,60622,41.8994323,-87.6964567,West Town
25,Cafe Mustache,2313 N Milwaukee Ave ,773-687-9063,60647,41.9233637,-87.69774919999999,Logan Square
26,Cafe Tola,3612 N Southport Ave ,773-687-8428,60613,41.9475298,-87.6642115,Lake View
27,Cafe Utjeha,5350 N Lincoln Ave ,773-907-8853,60625,41.9790686,-87.69291989999999,Lincoln Square
28,Caffe ArrivaDolce,6451 N Sheridan Rd ,773-338-3103,60626,41.999787,-87.66031629999999,Rogers Park
29,Caffe Baci,20 N Michigan Ave ,312-214-2220,60602,41.8826538,-87.6249409,Chicago Loop
30,Caffe Baci,2 N La Salle St ,312-629-2215,60602,41.8823812,-87.6325969,Chicago Loop
31,Caffe Baci,332 S Michigan Ave ,312-322-2258,60604,41.8772942,-87.624614,Chicago Loop
32,Caffe Rom,180 N Stetson Ave ,312-948-8888,60601,41.8854342,-87.6227258,North Stetson Avenue
33,Capital One Café,1538 N Clybourn Ave. ,312-279-8060,60610,41.9093659,-87.6476394,Goose Island
34,Capital One Café,3435 N Southport Ave ,312-279-8061,60657,41.9444895,-87.6636389,Lake View
35,Capital One Café,100 S State Street ,312-279-1047,60603,41.8805054,-87.62815739999999,Chicago Loop
36,Caribou Coffee,10 S La Salle St ,312-609-5108,60603,41.8814637,-87.6329439,Chicago Loop
37,Caribou Coffee,200 N La Salle St ,312-223-1606,60601,41.8860705,-87.6330225,Chicago Loop
38,Caribou Coffee,41 E 8th St ,312-786-9205,60605,41.87170500000001,-87.62642199999999,Chicago Loop
39,Caribou Coffee,3300 N Broadway St ,773-477-3695,60657,41.9420233,-87.64466259999999,Lake View East
40,Caribou Coffee,311 W Monroe St ,312-920-9746,60606,41.8804279,-87.63567890000002,Chicago Loop
41,Caribou Coffee,3025 N Clark St ,773-529-6366,60657,41.9371953,-87.64826579999999,Lake View East
42,Caribou Coffee,811 W Maxwell St ,312-738-3570,60608,41.86461930000001,-87.64714649999999,Little Italy
