,Name,Hours,Address,City,State,Zip,Phone,Website,Latitude,Longitude,Neighborhood
0,South Shore,,2505 E. 73rd St.,Chicago,IL,60649,Closed for Construction,https://www.chipublib.org/locations/66/,41.76155536,-87.56208364,South Shore
1,Albany Park,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",3401 W. Foster Ave.,Chicago,IL,60625,773 539-5450,https://www.chipublib.org/locations/3/,41.975456,-87.71409,North Park
2,Altgeld,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",13281 S. Corliss Ave.,Chicago,IL,60827,312 747-3270,https://www.chipublib.org/locations/4/,41.65473022,-87.60223026,Altgeld Gardens
3,Archer Heights,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",5055 S. Archer Ave.,Chicago,IL,60632,312 747-9241,https://www.chipublib.org/locations/5/,41.80121366,-87.72649071,Archer Heights
4,Austin,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",5615 W. Race Ave.,Chicago,IL,60644,312 746-5038,https://www.chipublib.org/locations/6/,41.88927215,-87.76571187,Austin
5,Austin-Irving,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",6100 W. Irving Park Rd.,Chicago,IL,60634,312 744-6222,https://www.chipublib.org/locations/7/,41.9531739,-87.77938682,Portage Park
6,Avalon,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",8148 S. Stony Island Ave.,Chicago,IL,60617,312 747-5234,https://www.chipublib.org/locations/8/,41.74671722,-87.58539659,Grand Crossing
7,Back of the Yards,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",2111 W. 47th St.,Chicago,IL,60609,312 747-9595,https://www.chipublib.org/locations/9/,41.80838442,-87.67756964,Back of the Yards
8,Beverly,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",1962 W. 95th St.,Chicago,IL,60643,312 747-9673,https://www.chipublib.org/locations/10/,41.72118051,-87.67194646,Beverly
9,Bezazian,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",1226 W. Ainslie St.,Chicago,IL,60640,312 744-0019,https://www.chipublib.org/locations/11/,41.97168195,-87.66073027,Uptown
10,Blackstone,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",4904 S. Lake Park Ave.,Chicago,IL,60615,312 747-0511,https://www.chipublib.org/locations/12/,41.80584031,-87.58934182,South Lake Park Avenue
11,Brainerd,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",1350 W. 89th St.,Chicago,IL,60620,312 747-6291,https://www.chipublib.org/locations/13/,41.73231676,-87.65723452,Gresham
12,Brighton Park,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",4314 S. Archer Ave.,Chicago,IL,60632,312 747-0666,https://www.chipublib.org/locations/14/,41.81513879,-87.70265432,Brighton Park
13,Bucktown-Wicker Park,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",1701 N. Milwaukee Ave.,Chicago,IL,60647,312 744-6022,https://www.chipublib.org/locations/15/,41.9127224,-87.6805873,West Town
14,Budlong Woods,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",5630 N. Lincoln Ave.,Chicago,IL,60659,312 742-9590,https://www.chipublib.org/locations/16/,41.98457226,-87.69773449,Arcadia Terrace
15,Canaryville,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",642 W. 43rd St.,Chicago,IL,60609,312 747-0644,https://www.chipublib.org/locations/17/,41.81550568,-87.64250101,Manhattan
16,Chicago Bee,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",3647 S. State St.,Chicago,IL,60609,312 747-6872,https://www.chipublib.org/locations/18/,41.82842687,-87.62640222,Douglas
17,Chicago Lawn,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",6120 S. Kedzie Ave.,Chicago,IL,60629,312 747-0639,https://www.chipublib.org/locations/19/,41.78180788,-87.70326162,Chicago Lawn
18,Chinatown,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",2100 S. Wentworth Ave.,Chicago,IL,60616,312 747-8013,https://www.chipublib.org/locations/20/,41.85412074,-87.63195792,Armour Square
19,Clearing,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",6423 W. 63rd Pl.,Chicago,IL,60638,312 747-5657,https://www.chipublib.org/locations/21/,41.77678206,-87.78181979,Clearing
20,Coleman,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",731 E. 63rd St.,Chicago,IL,60637,312 747-7760,https://www.chipublib.org/locations/22/,41.78037301,-87.60715724,Woodlawn
21,"Daley, Richard J.","Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",3400 S. Halsted St.,Chicago,IL,60608,312 747-8990,https://www.chipublib.org/locations/23/,41.83228703,-87.64648501,Bridgeport
22,"Daley, Richard M.","Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",733 N. Kedzie Ave.,Chicago,IL,60612,312 743-0555,https://www.chipublib.org/locations/24/,41.8943707,-87.70646070000001,Humboldt Park
23,Douglass,,3353 W. 13th St.,Chicago,IL,60623,Closed for Construction,https://www.chipublib.org/locations/25/,41.86450076,-87.70968549,North Lawndale
24,Dunning,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",7455 W. Cornelia Ave.,Chicago,IL,60634,312 743-0480,https://www.chipublib.org/locations/26/,41.943308,-87.817497,Dunning
25,Edgebrook,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",5331 W. Devon Ave.,Chicago,IL,60646,312 744-8313,https://www.chipublib.org/locations/27/,41.99697088,-87.76204789,Forest Glen
26,Edgewater,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",6000 N. Broadway St.,Chicago,IL,60660,312 742-1945,https://www.chipublib.org/locations/28/,41.990996,-87.66075699999999,Magnolia Glen
27,Gage Park,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",2807 W. 55th St.,Chicago,IL,60632,312 747-0032,https://www.chipublib.org/locations/29/,41.79369723,-87.69404645,Gage Park
28,Galewood-Mont Clare,"Sun. & Sat., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. 9-5",6871 W. Belden Ave.,Chicago,IL,60707,312 746-0165,https://www.chipublib.org/locations/30/,41.92111472,-87.79724102,Montclare
29,Garfield Ridge,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",6348 S. Archer Ave.,Chicago,IL,60638,312 747-6094,https://www.chipublib.org/locations/31/,41.79298666,-87.78013326,Garfield Ridge
30,Greater Grand Crossing,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",1000 E. 73rd St.,Chicago,IL,60619,312 745-1608,https://www.chipublib.org/locations/32/,41.7623,-87.6005,Greater Grand Crossing
31,Hall,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",4801 S. Michigan Ave.,Chicago,IL,60615,312 747-2541,https://www.chipublib.org/locations/33/,41.80743298,-87.62273982,Grand Boulevard
32,Harold Washtington Library Center,"Mon. - Thu., 9-9; Fri. & Sat., 9-5; Sun., 1-5",400 S. State St.,Chicago,IL,60605,312 747-4300,https://www.chipublib.org/locations/34/,41.87629985,-87.6281928,Chicago Loop
33,Hegewisch,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",3048 E. 130th St.,Chicago,IL,60633,312 747-0046,https://www.chipublib.org/locations/35/,41.65917887,-87.54824133,Hegewisch
34,Humboldt Park,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",1605 N. Troy St.,Chicago,IL,60647,312 744-2244,https://www.chipublib.org/locations/36/,41.910328,-87.705427,Humboldt Park
35,Independence,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",4024 N. Elston Ave.,Chicago,IL,60618,312 744-0900,https://www.chipublib.org/locations/37/,41.95390372,-87.71694255,Irving Park
36,Jefferson Park,,5363 W. Lawrence Ave.,Chicago,IL,60630,Closed for Construction,https://www.chipublib.org/locations/38/,41.96759739,-87.76155426,Portage Park
37,Jeffery Manor,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",2401 E. 100th St.,Chicago,IL,60617,312 747-6479,https://www.chipublib.org/locations/39/,41.71326176,-87.56549207,South Deering
38,Kelly,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",6151 S. Normal Blvd.,Chicago,IL,60621,312 747-8418,https://www.chipublib.org/locations/40/,41.78217163,-87.63740787,Englewood
39,King,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",3436 S. King Dr.,Chicago,IL,60616,312 747-7543,https://www.chipublib.org/locations/41/,41.831801399999996,-87.61776067,Douglas
40,Legler,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",115 S. Pulaski Rd.,Chicago,IL,60624,312 746-7730,https://www.chipublib.org/locations/42/,41.87933866,-87.72556035,East Garfield Park
41,Lincoln Belmont,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",1659 W. Melrose St.,Chicago,IL,60657,312 744-0166,https://www.chipublib.org/locations/43/,41.9403136,-87.67075771,Roscoe Village
42,Lincoln Park,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",1150 W. Fullerton Ave.,Chicago,IL,60614,312 744-1926,https://www.chipublib.org/locations/44/,41.92559169,-87.65811325,West Fullerton Parkway
43,Little Italy,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5l",1336 W. Taylor St.,Chicago,IL,60607,312 746-5656,https://www.chipublib.org/locations/62/,41.867166,-87.660613,Little Italy
44,Little Village,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",2311 S. Kedzie Ave.,Chicago,IL,60623,312 745-1862,https://www.chipublib.org/locations/45/,41.8495331,-87.70512149999999,Marshall Square
45,Logan Square,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",3030 W. Fullerton Ave.,Chicago,IL,60647,312 744-5295,https://www.chipublib.org/locations/46/,41.9250521,-87.70339411,Logan Square
46,Lozano,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",1805 S. Loomis St.,Chicago,IL,60608,312 746-4329,https://www.chipublib.org/locations/47/,41.85752201,-87.66093712,Lower West Side
47,Manning,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",6 S. Hoyne Ave.,Chicago,IL,60612,312 746-6800,https://www.chipublib.org/locations/48/,41.8811857,-87.67914211,Near West Side
48,Mayfair,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",4400 W. Lawrence Ave.,Chicago,IL,60630,312 744-1254,https://www.chipublib.org/locations/49/,41.96835446,-87.73816190000001,North Mayfair
49,McKinley Park,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",1915 W. 35th St.,Chicago,IL,60609,312 747-6082,https://www.chipublib.org/locations/50/,41.8304475,-87.67339165,San Pedro
50,Merlo,,644 W. Belmont Ave.,Chicago,IL,60657,Closed for Construction,https://www.chipublib.org/locations/51/,41.94008421,-87.64614323,Lake View East
51,Mount Greenwood,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",11010 S. Kedzie Ave.,Chicago,IL,60655,312 747-2805,https://www.chipublib.org/locations/52/,41.6929191,-87.70103789,Mount Greenwood
52,Near North,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",310 W. Division St.,Chicago,IL,60610,312 744-0991,https://www.chipublib.org/locations/53/,41.90386939,-87.63648979999999,Near North Side
53,North Austin,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",5724 W. North Ave.,Chicago,IL,60639,312 746-4233,https://www.chipublib.org/locations/54/,41.9094292,-87.76879899,Austin
54,North Pulaski,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",4300 W. North Ave.,Chicago,IL,60639,312 744-9573,https://www.chipublib.org/locations/55/,41.91004242,-87.73392609,Stone Park
55,Northtown,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",6800 N. Western Ave.,Chicago,IL,60645,312 744-2292,https://www.chipublib.org/locations/56/,41.99833903,-87.69965005,West Ridge
56,Oriole Park,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",7454 W. Balmoral Ave.,Chicago,IL,60656,312 744-1965,https://www.chipublib.org/locations/57/,41.97796114,-87.81320911,Oriole Park
57,Popular Library at Water Works,"Mon. - Thu., 9-7; Fri. & Sat., 9-5; Sun., 1-5",163 E. Pearson St.,Chicago,IL,60611,312 742-8811,https://www.chipublib.org/locations/73/,41.89758435,-87.62314877,Streeterville
58,Portage-Cragin,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",5108 W. Belmont Ave.,Chicago,IL,60641,312 744-0152,https://www.chipublib.org/locations/58/,41.93877675,-87.75449294,Portage Park
59,Pullman,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",11001 S. Indiana Ave.,Chicago,IL,60628,312 747-2033,https://www.chipublib.org/locations/59/,41.69440641,-87.61826066,Roseland
60,Roden,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",6083 N. Northwest Hwy.,Chicago,IL,60631,312 744-1478,https://www.chipublib.org/locations/60/,41.99191752,-87.79830190000001,Norwood Park
61,Rogers Park,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",6907 N. Clark St.,Chicago,IL,60626,312 744-0156,https://www.chipublib.org/locations/61/,42.00670764,-87.67340767,Rogers Park
62,Scottsdale,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",4101 W. 79th St.,Chicago,IL,60652,312 747-0193,https://www.chipublib.org/locations/63/,41.74936168,-87.72439558,Ashburn
63,Sherman Park,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",5440 S. Racine Ave.,Chicago,IL,60609,312 747-0477,https://www.chipublib.org/locations/64/,41.79527942,-87.65492072,Back of the Yards
64,South Chicago,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",9055 S. Houston Ave.,Chicago,IL,60617,312 747-8065,https://www.chipublib.org/locations/65/,41.73057483,-87.54980694,South Chicago
65,Sulzer Regional Library,"Mon. - Thu., 9-9; Fri. & Sat., 9-5; Sun., 1-5",4455 N. Lincoln Ave.,Chicago,IL,60625,312 744-7616,https://www.chipublib.org/locations/67/,41.96240358,-87.68441685,Lincoln Square
66,Thurgood Marshall,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",7506 S. Racine Ave.,Chicago,IL,60620,312 747-5927,https://www.chipublib.org/locations/68/,41.75780175,-87.65398155,Gresham
67,Toman,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",2708 S. Pulaski Rd.,Chicago,IL,60623,312 745-1660,https://www.chipublib.org/locations/69/,41.84205367,-87.72496884,South Lawndale
68,Uptown,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",929 W. Buena Ave.,Chicago,IL,60613,312 744-8400,https://www.chipublib.org/locations/70/,41.95844521,-87.65351012,Uptown
69,Vodak-East Side,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",3710 E. 106th St.,Chicago,IL,60617,312 747-5281,https://www.chipublib.org/locations/71/,41.70302748,-87.53350318,East Side
70,Walker,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",11071 S. Hoyne Ave.,Chicago,IL,60643,312 747-1920,https://www.chipublib.org/locations/72/,41.69244169,-87.67413287,South Side
71,West Belmont,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",3104 N. Narragansett Ave.,Chicago,IL,60611,312 746-5142,https://www.chipublib.org/locations/74/,41.93666212,-87.78589145,Belmont Cragin
72,West Chicago Avenue,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",4856 W. Chicago Ave.,Chicago,IL,60634,312 743-0260,https://www.chipublib.org/locations/75/,41.89504651,-87.74732954,Austin
73,West Englewood,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",1745 W. 63rd St.,Chicago,IL,60651,312 747-3481,https://www.chipublib.org/locations/76/,41.77933436,-87.66812159,West Englewood
74,West Lawn,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",4020 W. 63rd St.,Chicago,IL,60636,312 747-7381,https://www.chipublib.org/locations/77/,41.77866222,-87.72353857,West Lawn
75,West Loop,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5l",122 N. Aberdeen St.,Chicago,IL,60607,312 744-2995,https://www.chipublib.org/locations/88/,41.884232,-87.654324,West Loop
76,West Pullman,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",830 W. 119th St.,Chicago,IL,60643,312 747-1425,https://www.chipublib.org/locations/78/,41.67785087,-87.64299968,West Pullman
77,West Town,"Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",1625 W. Chicago Ave.,Chicago,IL,60622,312 743-0450,https://www.chipublib.org/locations/79/,41.89575219,-87.66826659,West Town
78,"Whitney M. Young, Jr.","Sun., Closed; Mon. & Wed., 10-6; Tue. & Thu., Noon-8; Fri. & Sat., 9-5",415 East 79th St.,Chicago,IL,60619,312 747-0039,https://www.chipublib.org/locations/80/,41.75106361,-87.61495065,Manhattan
79,Woodson Regional Library,"Mon. - Thu., 9-9; Fri. & Sat., 9-5; Sun., 1-5",9525 S. Halsted St.,Chicago,IL,60628,312 747-6900,https://www.chipublib.org/locations/81/,41.72093481,-87.64309395,Washington Heights
80,Wrightwood-Ashburn,"Sun., Closed; Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5",8530 S. Kedzie Ave.,Chicago,IL,60652,312 747-2696,https://www.chipublib.org/locations/82/,41.738324,-87.70213011,Ashburn
