Name,Address,Phone_Number,Zip_Code
Adobo Grill,215 W North Ave ,312-366-2150,60610
Arturo's Mexican Restaurant,7151 S Western Ave ,773-776-0433,60636
Atolito,4429 N Broadway St ,773-334-7711,60640
Atolito Mexican Kitchen,4429 N Broadway St ,773-334-7711,60640
Atolito Mexican Kitchen,2436 N Lincoln Ave ,773-880-6666,60614
Azteca,7531 N Wolcott Ave ,773-973-3570,60626
Azteca Grill,3731 North Clark Street ,773-857-6565,60613
Baja Fresh Mexican Grill,180 N Michigan Ave Ste 104 ,312-223-8590,60601
Buenos Tacos,283 N Pulaski Rd ,773-826-1988,60624
Burrito Beach,210 S Canal St ,312-575-9749,60606
Burrito Beach,5600 Mannheim Rd ,773-462-0190,60666
Burrito Beach,200 E Ohio St ,312-335-0668,60611
Burrito Beach,19 S LaSalle St ,312-578-9340,60603
Burrito Beach,233 N Michigan Ave ,312-861-1986,60601
Burrito Beach,500 W Madison St ,312-466-1828,60661
Burrito Beach,251 E Huron St ,312-475-0442,60611
Burrito Buggy,206 W Van Buren St ,312-362-0199,60607
Burrito Buggy,117 S Clinton St ,312-258-9158,60661
Burrito Grande,5108 S Archer Ave ,773-581-8898,60632
Burrito House,3145 W Addison St ,773-279-9111,60618
Burrito King,4754 W Belmont Ave ,773-280-9251,60641
C Manny's Mexican Restaurant,3641 W Irving Park Rd ,773-583-1590,60618
Cabos Baja Cafe & Mexican Grill,5750 North California Avenue ,872-208-5842,60659
Cafe Rio,3222 W Bryn Mawr Ave ,773-942-6169,60659
Calis Mexican American Grill Menrcan,2333 S Michigan Ave ,312-794-5418,60616
Cantina Laredo,508 N State St ,312-955-0014,60654
Carbon Live Fire Mexican Grill,810 N Marshfield Ave ,312-733-0978,60622
Carniceria Y Taqueria Guerro,1856 N Richmond St ,773-252-0906,60647
Carnitas Michoacan,4235 W 63rd St ,773-912-6607,60629
Carnitas Uruapan,1725 W. 18th St. ,312-226-2654,60608
Casa Blanca,4549 N Kedzie Ave ,773-463-0931,60625
Casa Sanchez,1248 W ,312-243-2561,60642
Ceasars Tacos,316 N Clark St ,773-248-1292,60654
Cesar's Killer Margaritas - Broadway,2924 North Broadway ,773-296-9097,60657
Cesar's Killer Margaritas - Clark,3166 N. Clark St. ,773-248-2835,60657
Chicken And Taco Place,5200 N Elston Ave ,773-685-3045,60630
Chilapan Mexican,1522 W Montrose Ave ,773-878-1077,60613
Chipotle Mexican Grill,120 W Adams St ,773-239-7363,60603
Chipotle Mexican Grill,24 E Jackson Blvd ,312-588-0064,60604
Chipotle Mexican Grill,10 W Kinzie St ,312-475-0732,60607
Chipotle Mexican Grill,14 E Jackson Blvd ,312-566-0313,60604
Chipotle Mexican Grill,2717 N Elston Ave ,773-661-0250,60647
Chipotle Mexican Grill,3312 N Western Ave ,773-472-6033,60618
Chipotle Mexican Grill,2310 W 95th St ,773-239-7363,60643
Chipotle Mexican Grill,233 W Lake St ,312-263-6231,60606
Chipotle Mexican Grill,2000 N Clybourn Ave ,773-935-1292,60614
Chipotle Mexican Grill,2743 N Elston Ave ,773-278-4346,60647
Chipotle Mexican Grill,311 S Wacker Dr ,312-588-1590,60606
Chipotle Mexican Grill,610 W Diversey Pkwy ,773-281-3610,60614
Chipotle Mexican Grill,10 E Jackson Blvd ,312-566-0987,60604
Chipotle Mexican Grill,2640 N Narragansett Ave ,773-745-4678,60639
Chipotle Mexican Grill,6600 N Sheridan Rd ,773-465-9298,60626
Chipotle Mexican Grill,3312 N Western Ave ,773-472-6163,60618
Chipotle Mexican Grill,6 W Grand Ave ,312-828-0615,60654
Chipotle Mexican Grill,230 West Monroe Street ,312-727-0061,60606
Chipotle Mexican Grill,5224 N Broadway St ,773-878-1155,60640
Chipotle Mexican Grill,2256 N Orchard Ave ,773-472-1614,60614
Chipotle Mexican Grill,2302 W 95th St ,773-239-7626,60643
Chipotle Mexican Grill,1132 S Clinton St ,312-583-0979,60607
Chipotle Mexican Grill,210 W North Ave ,312-475-0734,60610
Chipotle Mexican Grill,1166 N State St ,312-654-8640,60610
Chipotle Mexican Grill,3181 N Broadway St ,773-525-5254,60657
Chipotle Mexican Grill,1025 W Belmont Ave ,773-348-5503,60657
Chipotle Mexican Grill,4657 W Irving Park Rd ,773-283-1212,60641
Chipotle Mexican Grill,3227 W Addison St ,773-583-3706,60618
Chipotle Mexican Grill,8 E Madison St ,312-629-3663,60602
Chipotle Mexican Grill,10 S La Salle St ,312-977-0509,60603
Chipotle Mexican Grill,5961 N Lincoln Ave ,773-907-0359,60659
Chipotle Mexican Grill,1733 N Damen Ave ,773-772-5870,60647
Chipotle Mexican Grill,2809 N Ashland Ave ,773-883-5296,60657
Chipotle Mexican Grill,5330 S. Pulaski Road ,773-581-7632,60632
Chipotle Mexican Grill,806 W 63rd St ,773-962-0782,60621
Chipotle Mexican Grill,7561 S. Cicero Avenue ,773-581-8189,60652
Chipotle Mexican Grill,316 N Michigan Ave ,312-578-0146,60601
Chipotle Mexican Grill,41 W. 87th Street ,773-783-3503,60620
Chipotle Mexican Grill,291 E Ontario St ,312-587-8653,60611
Chipotle Mexican Grill,525 W Monroe St ,312-207-1227,60661
Chipotle Mexican Grill,4234 N Harlem Ave Norridge ,708-452-7161,60706
Chipotle Mexican Grill,1522 E 53rd St ,773-363-4879,60615
Chitown Bar And Taco,4839 S Central Ave ,708-701-2145,60638
Cielito Lindo Restaurant,5344 W Fullerton Ave ,773-637-9143,60639
Cocina Tarascas Mexican Restaurant,2585 N Clark St ,872-256-6577,60614
Costa Vida,218 W. Lake Street ,312-374-3344,60606
Danny's Tacos,11529 S Michigan Ave ,773-366-3525,60628
Del Taco,4157 S California Ave ,773-475-6365,60632
Del Taco,7138 N Clark St ,773-274-9004,60626
Del Taco,4835 S Archer Ave ,773-847-6116,60632
Del Taco,3144 N Narragansett Ave ,773-237-5049,60634
Delicias Mexicanas Restaurant,4147 W 26th St ,773-522-5009,60623
Deseo Mexican Cantina,4250 N Marine Dr ,773-388-3300,60613
Don Guacamoles,946 W Newport Ave ,773-883-6043,60657
Don Taquito Restaurant,3209 W Lawrence Ave ,773-463-2222,60625
Dona Torta Mexican Grill,5750 N California Ave ,773-942-7955,60659
Dos Diablos,15 W Hubbard St ,312-245-5252,60654
El Azteca,5011 W Fullerton Ave ,773-237-5638,60639
El Burrito Amigo,5238 W Grand Ave ,773-637-2188,60639
El Burrito Mexicano,936 W Addison St ,773-327-6991,60613
El Campestre,6920 S Pulaski Rd ,773-284-0512,60629
El Campestre,4226 S Archer Ave ,773-927-1333,60632
El Chisme Express,5955 South Pulaski Road ,773-284-2800,60629
El Chisme Restaurant,4440 South Western Avenue ,773-376-6900,60609
El Coyote Mexican Grill,2255 W Taylor St ,312-226-9833,60612
El Famous Burrito,7047 N Clark St ,773-465-0377,60626
El Famous Burrito,2 S Peoria St ,312-666-8788,60607
El Gallo Bravo,1429 W Montrose Ave ,773-404-5358,60613
El Gallo Giro,6531 W 63rd St ,773-586-7665,60638
El Gallo Giro,1631 N Bosworth Ave ,773-586-7665,60607
El Gran Burrito,5632 W North Ave ,773-622-2800,60639
El Guanaco,3802 W Diversey Ave ,773-394-5470,60647
El Guanaco,6345 W Grand Ave ,773-637-2915,60639
El Habanero,3300 West Fullerton Avenue ,773-227-9225,60647
El Jalapeno,10641 S Pulaski Rd ,773-366-3676,60655
El Jalapenos,5422 W Fullerton Ave ,773-622-5544,60639
El Jardin,3335 N Clark St ,773-528-6775,60657
El Llano Restaurant,4011 N Elston Ave Ste 1 ,773-866-9500,60618
El Mariachi,3906 N Broadway St Ste Front ,773-549-2932,60613
El Mariachi,3420 N Broadway St ,773-549-7020,60657
El Mercado Barato,2766 N Milwaukee Ave ,773-384-2514,60647
El Molino Restaurant,3945 W 31st St ,773-847-7789,60623
El Norte Restaurant,114 W ,312-943-5581,60654
El Norte Restaurant,1437 W Highland Ave ,773-423-0011,60660
El Original Chavas Tacos,2333 W Grand Ave ,312-226-1129,60612
El Poblano Mexican Restaurant,2610 W 51st St ,773-434-9901,60632
El Pollo Feliz,7025 S Pulaski Rd ,773-284-7227,60629
El Pollo Real,3823 W 31st St ,773-847-3907,60623
El Pollo Real,3835 W 31st St ,773-847-3907,60623
El Pueblito Mexican Grill,5152 North Cicero Avenue ,773-205-0917,60630
El Pueblito Restaurant,6712 N Clark St ,773-381-1638,60626
El Puerto Restaurant,3018 W 47th St ,773-940-0293,60632
El Quetzal,3303 W Armitage Ave ,773-862-8049,60647
El Ranchito,2175 N Austin Ave ,773-745-8010,60639
El Rincon De Jalisco,6600 S Kedzie Ave ,773-434-7759,60629
El Sombrero,4611 S Pulaski Rd ,773-927-7092,60632
El Sombrero,5220 S Pulaski Rd ,773-582-0821,60632
El Taco Azteca,2151 West Cermak Road ,773-247-1103,60608
El Taco Loco1,700 W Lawrence Ave ,773-754-0771,60640
El Taco Loco,1726 W Lawrence Ave ,773-784-1881,60640
El Taco Veloz,1745 W Chicago,312-738-0363,60622
El Taconazo,1836 S Blue Island Ave ,312-226-9697,60608
El Taconazo Restaurant,2350 W Cermak Rd ,773-523-6076,60608
El Taconazo Restaurant,4124 W North Ave ,773-862-7705,60639
El Taconazo Restaurant,5847 S Kedzie Ave ,773-918-1577,60629
El Taconazo Restaurant - El Original #1,4124 West North Avenue ,872-817-7033,60639
El Tapatio,10300 S Ewing Ave ,773-933-9930,60617
El Tapatio,2021 W 18th St ,312-850-4803,60608
El Tejado Mexican Grill,6411 North Central Avenue ,773-631-2101,60646
El Tequilas Bar and Grill,2826 North Lincoln Avenue ,872-206-8053,60657
El Torito,1825 W Montrose Ave ,773-929-5404,60613
Elias Tacos,5249 S Kedzie Ave ,773-476-3173,60632
Elo Taco Feliz Taqueria,5439 W Addison St ,773-283-4377,60641
Erick's Tacos,1967 W Lawrence Ave ,773-334-6920,60640
Fiesta Mexican Grill,2829 W Armitage Ave ,773-384-6517,60647
Fiesta Mexicana,2503 S Blue Island Ave ,773-823-1091,60608
Fiesta Mexicana,4806 N Broadway St ,773-769-4244,60640
Fiesta Mexicana,1235 W Grand Ave ,312-421-2000,60642
Flaco's Tacos,46 E Chicago,312-266-8226,60611
Flaco's Tacos,725 S Dearborn St ,312-922-8226,60605
Flaco's Tacos,3530 N Clark St ,773-975-8226,60657
Flash Taco,1570 N Damen Ave ,773-772-1997,60622
Forastero,449 W North Ave ,312-265-0322,60610
Four Brothers Mexican Restaurant,3924 W Diversey Ave ,773-384-8960,60647
Gold Coast Dogs & El Picante Mexican Grill,2349 W Howard St ,773-338-0900,60645
Gomez Marie,2603 W 71st St ,773-778-7447,60629
Gorditas Santiago,3811 W 63rd St ,773-735-2860,60629
Guapo Taco,2430 W 47th St ,773-696-2777,60632
Jerktaco Man,4001 W Jackson Blvd ,773-826-9009,60624
Jesse's Mexican Grill,6950 N Western Ave ,773-856-6750,60645
Joel's Tacos,604 N Cicero Ave ,773-261-5900,60644
Just Tacos Taqueria,3792 W 79th St ,773-767-1199,60652
La Cabana,5157 N Lincoln Ave ,773-271-5176,60625
La Cabana,5958 W Wrightwood Ave ,773-237-7760,60639
La Calavera,1438 West Chicago,312-255-7925,60642
La Canasta,1119 W Webster Ave ,773-472-7070,60614
La Cantina,71 W Monroe St ,312-332-7005,60603
La Cantina Grill,1911 S Michigan Ave ,312-842-1911,60616
La Carreta,6910 N Clark St ,773-465-1298,60626
La Cecina on Pilsen,1536 West 18th Street ,312-666-2539,60608
La Cecina Restaurant,1934 West 47th Street ,773-927-9444,60609
La Estrella,3835 W 26th St ,773-762-0400,60623
La Estrella,3003 W 63rd St ,773-434-1771,60629
La Familia,3308 W 26th St ,773-522-3500,60623
La Familia Restaurant,6658 W Archer Ave ,773-229-9377,60638
La Fiesta,3333 W 111TH St ,773-779-4844,60655
La Fiesta,4248 S Archer Ave ,773-254-4678,60632
La Flor De Michoacan,5159 W Addison St ,773-685-6680,60641
La Gorda Feliz,5940 W Diversey Ave ,773-622-5249,60639
La Granja Restaurant,3047 N Cicero Ave ,773-685-3323,60641
La Guadalupana,4647 S Archer Ave ,773-823-9400,60632
La Guadalupana,1365 W 37th St ,773-869-0641,60609
La Oaxaquena,3382 N Milwaukee Ave ,773-545-8585,60641
La Palapa,2000 W 34th St ,773-376-9620,60608
La Pasadita,1136 N Ashland Ave ,773-486-4442,60622
La Pasadita,1142 N Ashland Ave ,773-486-4442,60622
La Pasadita Restaurant,1140 N Ashland Ave ,773-278-2130,60622
La Perla Tapatia,3251 W North Ave ,773-486-3120,60647
La Placita,1840 W 35th St ,773-254-1223,60609
La Sirena II,3109 W 59th St ,773-776-3260,60629
La Tapatia,2300 S Sacramento Ave ,773-277-8384,60623
La Taquiza Grill,4628 N Cumberland Ave ,773-417-3280,60656
La Taquiza Grill Mexican Restaurant,4628 N Cumberland Ave,773-417-3280,60656
Lalagartija Taqueria,132 S Ashland Ave ,312-733-7772,60607
Lalo's Mexican Restaurant,5700 S Cicero Ave ,773-838-1604,60638
Las Asadas,2045 N Western Ave ,773-235-5538,60647
Las Asadas,3834 W 47th St ,773-847-1000,60632
Las Delicias,4010 W Montrose Ave ,773-685-4142,60641
Las Delicias,4308 W 31st St ,773-376-1411,60623
Las Delicias,4754 W Fullerton Ave ,773-360-8775,60639
Las Delicias,6326 W Grand Ave ,773-889-6472,60639
Las Fuentes Restaurant,2558 N Halsted St ,773-935-2004,60614
Las Islitas Seafood & Mexican Restaurant,2446 S Western Ave ,773-376-0610,60608
Las Mananitas Mexican Restaurant,3523 N Halsted St ,773-528-2109,60657
Las Palmas Mexican Restaurant,1835 W North Ave ,773-289-4991,60622
Las Palmas Mexican Restraint,3243 N Pulaski Rd ,773-628-7144,60641
