,Name,Address,Phone_Number,Zip_Code,Latitude,Longitude,Neighborhood
0,Adobo Grill,215 W North Ave ,312-366-2150,60610,41.9109338,-87.6353587,Near North Side
1,Arturo's Mexican Restaurant,7151 S Western Ave ,773-776-0433,60636,41.7632532,-87.6827778,Chicago Lawn
2,Atolito,4429 N Broadway St ,773-334-7711,60640,41.9625872,-87.65536,Uptown
3,Atolito Mexican Kitchen,2436 N Lincoln Ave ,773-880-6666,60614,41.9261617,-87.6501552,Sheffield & DePaul
4,Azteca,7531 N Wolcott Ave ,773-973-3570,60626,42.0188617,-87.6773534,Rogers Park
5,Azteca Grill,3731 North Clark Street ,773-857-6565,60613,41.9498727,-87.6583847,Wrigleyville
6,Baja Fresh Mexican Grill,180 N Michigan Ave Ste 104 ,312-223-8590,60601,41.8855045,-87.6248892,North Michigan Avenue
7,Buenos Tacos,283 N Pulaski Rd ,773-826-1988,60624,41.8852685,-87.7255734,East Garfield Park
8,Burrito Beach,210 S Canal St ,312-575-9749,60606,41.8786578,-87.6401556,West Loop
9,Burrito Beach,5600 Mannheim Rd ,773-462-0190,60666,41.9779842,-87.9064863,O'Hare
10,Burrito Beach,200 E Ohio St ,312-335-0668,60611,41.8927568,-87.62252939999999,Streeterville
11,Burrito Beach,19 S LaSalle St ,312-578-9340,60603,41.8813955,-87.63186259999999,South LaSalle Street
12,Burrito Beach,233 N Michigan Ave ,312-861-1986,60601,41.8870789,-87.6230875,Chicago Loop
13,Burrito Beach,500 W Madison St ,312-466-1828,60661,41.8823052,-87.6404881,West Loop
14,Burrito Beach,251 E Huron St ,312-475-0442,60611,41.8946256,-87.6209858,Streeterville
15,Burrito Buggy,206 W Van Buren St ,312-362-0199,60607,41.8769278,-87.63401309999999,Chicago Loop
16,Burrito Buggy,117 S Clinton St ,312-258-9158,60661,41.880001,-87.6409476,West Loop
17,Burrito Grande,5108 S Archer Ave ,773-581-8898,60632,41.80094039999999,-87.7296708,Archer Heights
18,Burrito House,3145 W Addison St ,773-279-9111,60618,41.9464799,-87.70708169999999,Avondale
19,Burrito King,4754 W Belmont Ave ,773-280-9251,60641,41.9389694,-87.7461182,Portage Park
20,C Manny's Mexican Restaurant,3641 W Irving Park Rd ,773-583-1590,60618,41.95346,-87.71949599999999,Irving Park
21,Cabos Baja Cafe & Mexican Grill,5750 North California Avenue ,872-208-5842,60659,41.9863937,-87.6996137,West Ridge
22,Cafe Rio,3222 W Bryn Mawr Ave ,773-942-6169,60659,41.9833157,-87.70994619999999,North Park
23,Calis Mexican American Grill Menrcan,2333 S Michigan Ave ,312-794-5418,60616,41.850102,-87.6232876,Near South Side
24,Cantina Laredo,508 N State St ,312-955-0014,60654,41.8910917,-87.62831210000002,River North
25,Carbon Live Fire Mexican Grill,810 N Marshfield Ave ,312-733-0978,60622,41.89639589999999,-87.66864830000002,West Town
26,Carniceria Y Taqueria Guerro,1856 N Richmond St ,773-252-0906,60647,41.91552069999999,-87.7006916,Logan Square
27,Carnitas Michoacan,4235 W 63rd St ,773-912-6607,60629,41.7784031,-87.7290167,West Lawn
28,Carnitas Uruapan,1725 W. 18th St. ,312-226-2654,60608,41.8575446,-87.6696718,Lower West Side
29,Casa Blanca,4549 N Kedzie Ave ,773-463-0931,60625,41.964474,-87.70821,East Albany Park
30,Casa Sanchez,1248 W ,312-243-2561,60642,40.740541,-111.927397,Salt Lake City
31,Ceasars Tacos,316 N Clark St ,773-248-1292,60654,41.887871,-87.63123399999999,River North
32,Cesar's Killer Margaritas - Broadway,2924 North Broadway ,773-296-9097,60657,41.9356893,-87.6445262,Lake View East
33,Cesar's Killer Margaritas - Clark,3166 N. Clark St. ,773-248-2835,60657,41.9394091,-87.6504094,Lake View
34,Chicken And Taco Place,5200 N Elston Ave ,773-685-3045,60630,41.9753987,-87.752287,Forest Glen
35,Chilapan Mexican,1522 W Montrose Ave ,773-878-1077,60613,41.9617617,-87.6686635,Ravenswood
36,Chipotle Mexican Grill,120 W Adams St ,773-239-7363,60603,41.8796665,-87.6315202,Chicago Loop
37,Chipotle Mexican Grill,24 E Jackson Blvd ,312-588-0064,60604,41.8783386,-87.62662590000001,Chicago Loop
38,Chipotle Mexican Grill,10 W Kinzie St ,312-475-0732,60607,41.8893756,-87.6291554,River North
39,Chipotle Mexican Grill,14 E Jackson Blvd ,312-566-0313,60604,41.8783901,-87.6270447,Chicago Loop
40,Chipotle Mexican Grill,2717 N Elston Ave ,773-661-0250,60647,41.9312576,-87.6851658,Bucktown
41,Chipotle Mexican Grill,3312 N Western Ave ,773-472-6033,60618,41.9413134,-87.6888329,North Center
42,Chipotle Mexican Grill,2310 W 95th St ,773-239-7363,60643,41.7214293,-87.6802903,Beverly
