,Name,Address,Phone Number,Latitude,Longitude,Neighborhood
0,5 Boroughs Pizza,1543 N Sedgwick St ,312-988-9009,41.910546,-87.6383568,Near North Side
1,7-Eleven,954 W Monroe ,312-421-5636,41.8805937,-87.6514062,West Loop
2,7-Eleven,2900 W Montrose,773-463-6868,41.9615964,-87.70113429999999,Albany Park
3,Acapulco Alegre ,5306 W Fullerton Ave ,773-804-1840,41.9243022,-87.7590159,Belmont Cragin
4,Agee's Pizzeria & Grill  ,1118 W Wilson Ave,773-271-1118,41.96558940000001,-87.6584906,Uptown
5,Aiello's Golden Crust Pizza Restrnt,4358 N Elston Ave ,773-777-6430,41.9598147,-87.7284663,Old Irving Park
6,Amato's Pizza Lincoln Park,953 West Willow Street ,312-640-1299,41.9136282,-87.6530058,Lincoln Park
7,Angelo's Pizza & Restaurant,3026 W Montrose Ave ,773-539-6908,41.9613512,-87.7043679,East Albany Park
8,Angelos Stuffed Pizza,4850 S Pulaski Rd ,773-927-9355,41.8045611,-87.7237971,Archer Heights
9,Angie's ,8352 S Pulaski Rd ,773-735-8527,41.7406121,-87.7219756,Ashburn
10,Antica Pizzeria ,5663 N Clark St ,773-944-1492,41.9851661,-87.6688722,Andersonville
11,Antonio's Pizza,1001 Jason Pl ,217-483-3733,39.6842195,-89.70662519999999,Chatham
12,Apart Pizza Company,2205 W Montrose Ave ,773-588-1550,41.9611715,-87.68406859999999,North Center
13,Armand's Pizzeria,4159 N Western Ave ,773-463-5200,41.9575611,-87.68825059999999,North Center
14,Armand's Pizzeria,151 N Michigan Ave ,312-624-8547,41.884971,-87.62413749999999,Chicago Loop
15,Armand's Pizzeria,2121 W Division St ,773-698-7944,41.9028518,-87.68049529999999,West Town
16,Armand's Pizzeria,6694 N Northwest Hwy ,773-930-4800,42.0025328,-87.8161707,Edison Park
17,Armitage Pizzeria ,711 W Armitage Ave ,312-867-9111,41.918072,-87.6466865,Lincoln Park
18,Aroma Pizzeria,1125 W Berwyn Ave ,773-769-4900,41.9780266,-87.6594035,Edgewater
19,Atino's Pizza ,4610 W Diversey Ave ,773-427-5555,41.9323861,-87.74240859999999,Kelvyn Park
20,Atinos Pizza ,570 W Roosevelt Rd ,312-994-0800,41.8675112,-87.6419923,Near West Side
21,Atinos Pizza ,1070 N Honore St ,312-994-0800,41.9012215,-87.67376070000002,West Town
22,Augusta Pizza And Grill,4400 W Augusta Blvd ,773-227-5175,41.8990576,-87.73621059999999,Humboldt Park
23,Aurelio's Pizza,506 W Harrison St ,312-994-2000,41.8748753,-87.6399375,Near West Side
24,Aurelio's Pizza ,1212 S Michigan Ave ,312-374-4459,41.8669906,-87.6245739,Near South Side
25,Aurelio's Pizza,3801 N. Clark St ,773-887-0999,41.9513118,-87.65953909999999,Wrigleyville
26,Avy's Pizza,9917 S Ewing Ave ,773-933-6007,41.71526739999999,-87.5350459,East Side
27,Bacci Pizza ,22 E Roosevelt Rd ,312-675-0700,41.8674859,-87.6266205,Chicago Loop
28,Bacci Pizza,4917 N Milwaukee Ave ,773-427-9999,41.970007,-87.76182899999999,Jefferson Park
29,Bacci Pizzeria,4367 N Milwaukee Ave ,773-304-3000,41.9604683,-87.75402369999999,Portage Park
30,Bacci Pizzeria,163 W North Ave ,312-337-2224,41.9109579,-87.6341944,Near North Side
